staff_id;full_name;role;phone;email
S001;Megan Rivera;Animal Trainer;816-585-5122;meganrivera23@sheltermail.com
S002;Daniel Moore;Volunteer Manager;679-810-8014;daniel.moore@sheltermail.com
S003;Angela Bell;Shelter Cleaner;414-356-8249;angela.bell100@sheltermail.com
S004;Laura Martin;Volunteer Manager;144-488-7508;laura555martin@sheltermail.com
S005;Scott Evans;Fundraising Manager;230-442-5825;scott.evans@sheltermail.com
S006;Eric Collins;Animal Trainer;678-424-6700;ericccolinss@sheltermail.com
S007;Layla Martinez;Veterinarian;141-314-7095;layla.martinez@sheltermail.com
S008;Matthew Jackson;Adoption Coordinator;986-379-0985;matthew.jackson43@sheltermail.com
S009;Angie Bellas;Animal Caretaker;844-542-3854;angiebellas@sheltermail.com
S010;Samantha Jones;Intake Specialist;415-232-9253;samantha.jjones@sheltermail.com
S011;Patrick Campbell;Animal Caretaker;780-250-4806;patrickcampbell@sheltermail.com
S012;Allison Phill;Volunteer Manager;120-971-8550;allison.phill@sheltermail.com
S013;Kimberly Roberts;Fundraising Manager;385-267-2940;kimberly.roberts@sheltermail.com
S014;Nicole Cook;Animal Trainer;440-550-0011;nicolecook@sheltermail.com
S015;Elizabeth Allen;Veterinarian Assistant;756-529-9190;elizabeth_allen@sheltermail.com
S016;Sarah Davis;Fundraising Manager;827-887-1801;sarahdaviis@sheltermail.com
S017;Christopher Harris;Veterinarian;168-446-3570;christopher.harris@sheltermail.com
S018;Allison Phillips;Adoption Coordinator;703-877-0344;allison75phillips@sheltermail.com
S019;James Anderson;Animal Caretaker;260-879-2520;james007anderson@sheltermail.com
S020;Samantha Mitchell;Adoption Coordinator;809-828-3382;samantha.mitchell@sheltermail.com
S021;Sophia Clark;Adoption Coordinator;148-144-4616;sophiaclarkk@sheltermail.com
S022;Madison Parker;Veterinarian;410-546-8888;madisonnoparker@sheltermail.com
S023;Michael Brown;Adoption Coordinator;828-914-2651;micaelbrown33@sheltermail.com
S024;Mattheas Stiles;Animal Caretaker;635-682-6851;mattheastiles9@sheltermail.com
S025;Jessica Taylor;Animal Caretaker;310-754-9158;jesssica.tayllor@sheltermail.com
S026;Angela Merkel;Adoption Coordinator;374-247-8202;angela.merkel@sheltermail.com
S027;Justin Murphy;Animal Caretaker;843-804-6938;justin.murphy@sheltermail.com
S028;Megan Foxy;Intake Specialist;402-423-9950;megan.foxy@sheltermail.com
S029;Lauren Scott;Animal Caretaker;555-544-7665;lauren.scott@sheltermail.com
S030;Eliza Smith;Shelter Cleaner;858-276-9977;elizasmith@sheltermail.com
S031;Eric Cooper;Shelter Cleaner;135-823-3437;ericcooper@sheltermail.com
S032;Christy Brown;Volunteer Manager;459-609-8376;christybrown0@sheltermail.com
S033;Timothy Turner;Animal Trainer;532-311-5250;timothyturner@sheltermail.com
S034;Brandon Young;Volunteer Manager;928-932-9136;brand0n.young@sheltermail.com
S035;Rachel King;Veterinarian Assistant;257-667-7506;rachelking@sheltermail.com
S036;Charles Reed;Animal Trainer;423-126-8216;charlesreed777@sheltermail.com
S037;Scott Evans;Animal Caretaker;436-837-5974;scottevans@sheltermail.com
S038;Lauren Bailey;Shelter Cleaner;790-661-7541;lauren.bailey@sheltermail.com
S039;Megan White;Veterinarian Assistant;551-161-1741;meganwhitee@sheltermail.com
S040;Gregory Morgan;Animal Trainer;791-443-9308;gregorymorgan@sheltermail.com
S041;Essy Messy;Fundraising Manager;610-799-1242;essy.messy@sheltermail.com
S042;Sicicilia Quario;Shelter Cleaner;328-345-8128;siciciliaquario@sheltermail.com
S043;Carrie Bradshaw;Animal Caretaker;279-801-4693;carriebradshaw@sheltermail.com
S044;Brandon Old;Adoption Coordinator;622-981-0116;oldiebrandon@sheltermail.com
S045;Olivia Thomas;Shelter Cleaner;586-433-2945;thomasolivia22134@sheltermail.com
S046;Joshua Lee;Veterinarian Assistant;507-517-5586;joshualee57685487@sheltermail.com
S047;Emily Johnson;Animal Caretaker;535-330-9485;emilyjohnson@sheltermail.com
S048;Justin Wright;Animal Caretaker;804-362-2746;justinwrighht@sheltermail.com
S049;Jaseem Mill;Intake Specialist;677-288-5303;mill0jaseeem@sheltermail.com
S050;Eric Adams;Shelter Cleaner;697-937-0167;ericadamsmain@sheltermail.com
